iter	Passed	Remaining
0	149	149672
1	154	77070
2	159	52952
3	164	40965
4	169	33820
5	175	29106
6	180	25634
7	186	23065
8	191	21058
9	196	19414
10	201	18102
11	206	17004
12	211	16042
13	216	15234
14	220	14483
15	225	13839
16	229	13255
17	233	12738
18	237	12262
19	240	11769
20	242	11322
21	245	10920
22	247	10528
23	250	10182
24	252	9839
25	254	9516
26	255	9216
27	257	8951
28	259	8704
29	261	8462
30	263	8240
31	265	8037
32	267	7834
33	268	7640
34	269	7441
35	271	7270
36	273	7108
37	274	6961
38	277	6826
39	278	6690
40	281	6588
41	283	6474
42	285	6354
43	287	6239
44	288	6129
45	291	6037
46	293	5943
47	295	5853
48	296	5759
49	298	5668
50	299	5581
51	301	5498
52	303	5417
53	304	5339
54	307	5284
55	309	5215
56	311	5145
57	312	5077
58	314	5010
59	315	4946
60	317	4884
61	318	4824
62	320	4771
63	323	4737
64	326	4694
65	327	4636
66	329	4588
67	331	4538
68	332	4490
69	334	4443
70	336	4397
71	338	4363
72	339	4317
73	341	4276
74	343	4237
75	345	4196
76	346	4156
77	348	4118
78	350	4080
79	351	4044
80	354	4023
81	356	3993
82	358	3958
83	360	3925
84	361	3893
85	363	3861
86	364	3828
87	366	3798
88	368	3769
89	371	3753
90	372	3725
91	374	3697
92	376	3669
93	377	3641
94	379	3614
95	381	3588
96	382	3562
97	384	3540
98	388	3532
99	390	3513
100	392	3490
101	393	3465
102	395	3442
103	396	3419
104	398	3395
105	400	3375
106	403	3365
107	405	3346
108	406	3324
109	408	3305
110	410	3285
111	411	3265
112	413	3245
113	415	3226
114	417	3214
115	420	3201
116	421	3183
117	423	3164
118	424	3146
119	426	3127
120	428	3109
121	429	3092
122	430	3069
123	431	3051
124	433	3035
125	435	3023
126	437	3008
127	439	2992
128	440	2976
129	442	2961
130	444	2946
131	445	2931
132	447	2918
133	450	2910
134	452	2896
135	453	2882
136	455	2868
137	456	2853
138	458	2839
139	460	2826
140	461	2812
141	463	2798
142	466	2794
143	468	2782
144	469	2769
145	471	2756
146	472	2743
147	474	2731
148	476	2718
149	477	2706
150	479	2694
151	481	2687
152	483	2676
153	485	2664
154	486	2653
155	488	2641
156	489	2630
157	491	2618
158	493	2607
159	493	2592
160	495	2583
161	498	2576
162	499	2566
163	501	2556
164	503	2546
165	504	2535
166	506	2525
167	507	2515
168	509	2505
169	511	2497
170	513	2491
171	515	2481
172	517	2471
173	518	2462
174	520	2452
175	521	2442
176	523	2433
177	524	2423
178	526	2414
179	529	2411
180	531	2403
181	532	2394
182	534	2386
183	536	2379
184	539	2375
185	541	2369
186	543	2364
187	545	2353
188	547	2347
189	548	2339
190	550	2331
191	551	2322
192	553	2314
193	555	2306
194	556	2298
195	558	2290
196	560	2286
197	562	2278
198	564	2271
199	566	2264
200	567	2256
201	569	2248
202	570	2241
203	572	2234
204	574	2227
205	577	2224
206	579	2219
207	581	2214
208	583	2208
209	585	2203
210	587	2196
211	589	2189
212	590	2182
213	593	2178
214	595	2172
215	596	2165
216	598	2158
217	599	2152
218	601	2145
219	603	2138
220	604	2131
221	606	2124
222	608	2120
223	610	2114
224	618	2130
225	622	2131
226	625	2129
227	627	2123
228	628	2117
229	630	2111
230	632	2105
231	633	2098
232	635	2092
233	637	2085
234	639	2080
235	641	2076
236	643	2071
237	644	2064
238	646	2058
239	648	2052
240	649	2046
241	651	2040
242	652	2033
243	654	2029
244	657	2024
245	658	2019
246	660	2013
247	661	2007
248	663	2001
249	665	1995
250	666	1989
251	668	1983
252	669	1977
253	672	1974
254	674	1969
255	675	1964
256	677	1958
257	678	1950
258	679	1945
259	681	1939
260	683	1934
261	684	1928
262	686	1924
263	688	1920
264	690	1915
265	692	1910
266	693	1904
267	695	1899
268	697	1894
269	698	1888
270	700	1883
271	702	1879
272	704	1875
273	705	1869
274	707	1864
275	708	1859
276	710	1854
277	711	1848
278	713	1843
279	715	1838
280	717	1836
281	720	1833
282	722	1829
283	724	1826
284	726	1822
285	728	1819
286	731	1816
287	734	1815
288	736	1811
289	738	1808
290	740	1803
291	742	1799
292	743	1794
293	745	1789
294	746	1784
295	749	1782
296	751	1778
297	752	1773
298	754	1768
299	756	1764
300	757	1759
301	759	1754
302	760	1750
303	762	1746
304	765	1743
305	767	1740
306	768	1735
307	770	1731
308	772	1726
309	773	1722
310	775	1718
311	777	1714
312	778	1709
313	781	1706
314	784	1704
315	786	1701
316	787	1697
317	789	1692
318	790	1688
319	792	1684
320	794	1679
321	795	1675
322	798	1673
323	800	1669
324	802	1665
325	803	1661
326	805	1657
327	806	1653
328	808	1648
329	810	1644
330	811	1640
331	814	1637
332	815	1633
333	817	1629
334	818	1625
335	820	1621
336	822	1617
337	823	1613
338	825	1609
339	826	1605
340	829	1602
341	831	1599
342	833	1595
343	834	1592
344	836	1588
345	838	1584
346	839	1580
347	841	1576
348	843	1572
349	846	1571
350	848	1568
351	849	1564
352	851	1560
353	853	1556
354	854	1553
355	856	1549
356	858	1545
357	859	1542
358	862	1539
359	863	1535
360	865	1531
361	866	1527
362	868	1524
363	870	1520
364	871	1516
365	873	1512
366	875	1509
367	877	1507
368	879	1504
369	881	1500
370	882	1496
371	884	1492
372	885	1489
373	887	1485
374	889	1481
375	890	1478
376	893	1475
377	894	1472
378	896	1468
379	898	1465
380	899	1461
381	901	1457
382	902	1454
383	904	1450
384	906	1447
385	909	1446
386	912	1445
387	913	1441
388	915	1438
389	917	1434
390	918	1431
391	920	1427
392	922	1424
393	924	1421
394	926	1419
395	928	1415
396	929	1412
397	931	1408
398	933	1405
399	934	1402
400	936	1398
401	937	1395
402	940	1392
403	942	1390
404	944	1387
405	945	1383
406	947	1380
407	949	1377
408	950	1373
409	952	1370
410	953	1367
411	956	1364
412	958	1362
413	960	1359
414	962	1356
415	964	1353
416	966	1350
417	967	1347
418	969	1344
419	971	1341
420	973	1338
421	975	1335
422	976	1332
423	978	1329
424	980	1326
425	981	1322
426	983	1319
427	984	1316
428	986	1313
429	988	1310
430	990	1307
431	992	1304
432	993	1301
433	995	1298
434	997	1295
435	998	1291
436	1000	1288
437	1001	1285
438	1004	1284
439	1006	1281
440	1008	1278
441	1010	1275
442	1011	1272
443	1013	1269
444	1015	1265
445	1016	1262
446	1018	1259
447	1021	1258
448	1023	1255
449	1025	1252
450	1026	1250
451	1028	1246
452	1030	1243
453	1031	1240
454	1033	1237
455	1035	1234
456	1037	1232
457	1039	1229
458	1041	1227
459	1043	1224
460	1044	1221
461	1046	1218
462	1047	1215
463	1049	1212
464	1051	1209
465	1053	1207
466	1055	1204
467	1057	1201
468	1058	1198
469	1060	1195
470	1062	1193
471	1063	1189
472	1065	1186
473	1067	1184
474	1069	1182
475	1071	1179
476	1073	1177
477	1075	1174
478	1076	1171
479	1078	1168
480	1079	1165
481	1081	1162
482	1083	1159
483	1085	1157
484	1088	1155
485	1089	1152
486	1091	1149
487	1092	1146
488	1094	1143
489	1096	1140
490	1097	1138
491	1099	1135
492	1101	1133
493	1103	1130
494	1105	1127
495	1107	1125
496	1108	1122
497	1110	1119
498	1112	1117
499	1114	1114
500	1117	1112
501	1119	1110
502	1121	1108
503	1124	1106
504	1126	1103
505	1128	1101
506	1130	1099
507	1133	1097
508	1135	1095
509	1137	1092
510	1139	1090
511	1141	1087
512	1143	1085
513	1144	1082
514	1146	1080
515	1148	1077
516	1150	1074
517	1151	1071
518	1153	1068
519	1155	1066
520	1156	1063
521	1158	1060
522	1159	1057
523	1161	1055
524	1163	1052
525	1165	1049
526	1166	1047
527	1168	1044
528	1170	1041
529	1171	1039
530	1173	1036
531	1175	1033
532	1177	1031
533	1180	1029
534	1181	1027
535	1183	1024
536	1184	1021
537	1186	1018
538	1188	1016
539	1189	1013
540	1191	1011
541	1193	1008
542	1195	1006
543	1197	1003
544	1198	1000
545	1200	998
546	1201	995
547	1203	992
548	1205	990
549	1207	987
550	1208	984
551	1210	982
552	1212	980
553	1213	976
554	1214	974
555	1216	971
556	1218	968
557	1219	966
558	1221	963
559	1223	961
560	1225	958
561	1226	956
562	1228	953
563	1230	950
564	1231	948
565	1233	945
566	1235	943
567	1238	941
568	1240	939
569	1241	936
570	1243	934
571	1245	931
572	1246	928
573	1248	926
574	1249	923
575	1251	921
576	1253	918
577	1254	916
578	1256	913
579	1258	911
580	1260	908
581	1261	906
582	1263	903
583	1265	901
584	1267	898
585	1268	896
586	1270	893
587	1272	891
588	1273	888
589	1275	886
590	1277	883
591	1278	881
592	1280	878
593	1282	876
594	1284	874
595	1286	871
596	1287	869
597	1289	866
598	1291	864
599	1292	861
600	1294	859
601	1296	857
602	1297	854
603	1299	852
604	1301	849
605	1302	846
606	1304	844
607	1306	842
608	1307	839
609	1309	837
610	1311	834
611	1312	832
612	1314	829
613	1315	827
614	1317	824
615	1318	822
616	1320	819
617	1323	818
618	1325	815
619	1327	813
620	1328	810
621	1330	808
622	1332	806
623	1333	803
624	1335	801
625	1337	798
626	1339	796
627	1340	794
628	1342	791
629	1344	789
630	1345	786
631	1347	784
632	1348	782
633	1350	779
634	1352	777
635	1354	775
636	1355	772
637	1357	770
638	1359	767
639	1360	765
640	1362	762
641	1363	760
642	1365	758
643	1367	755
644	1369	753
645	1370	751
646	1372	748
647	1374	746
648	1376	744
649	1377	741
650	1379	739
651	1380	737
652	1382	734
653	1384	732
654	1386	730
655	1388	728
656	1389	725
657	1391	723
658	1393	720
659	1394	718
660	1396	716
661	1398	714
662	1400	711
663	1402	709
664	1403	707
665	1405	704
666	1407	702
667	1408	700
668	1410	697
669	1412	695
670	1414	693
671	1415	690
672	1417	688
673	1419	686
674	1420	684
675	1422	681
676	1424	679
677	1425	677
678	1427	674
679	1428	672
680	1430	670
681	1432	667
682	1433	665
683	1435	663
684	1437	660
685	1438	658
686	1440	656
687	1442	654
688	1443	651
689	1445	649
690	1447	647
691	1449	644
692	1450	642
693	1452	640
694	1454	638
695	1455	635
696	1457	633
697	1459	631
698	1461	629
699	1462	626
700	1464	624
701	1466	622
702	1467	620
703	1469	617
704	1471	615
705	1472	613
706	1474	611
707	1476	608
708	1476	606
709	1478	603
710	1480	601
711	1481	599
712	1483	597
713	1485	594
714	1487	592
715	1488	590
716	1490	588
717	1492	586
718	1493	583
719	1495	581
720	1496	579
721	1498	577
722	1500	574
723	1502	572
724	1503	570
725	1505	568
726	1507	565
727	1508	563
728	1510	561
729	1512	559
730	1513	557
731	1515	554
732	1517	552
733	1519	550
734	1521	548
735	1522	546
736	1524	543
737	1525	541
738	1527	539
739	1529	537
740	1530	535
741	1532	532
742	1534	530
743	1535	528
744	1537	526
745	1539	524
746	1540	521
747	1542	519
748	1543	517
749	1545	515
750	1547	513
751	1549	511
752	1551	508
753	1552	506
754	1554	504
755	1556	502
756	1557	500
757	1559	497
758	1561	495
759	1563	493
760	1565	491
761	1567	489
762	1569	487
763	1570	485
764	1572	483
765	1573	480
766	1575	478
767	1577	476
768	1579	474
769	1581	472
770	1583	470
771	1585	468
772	1587	466
773	1588	463
774	1590	461
775	1592	459
776	1594	457
777	1596	455
778	1598	453
779	1599	451
780	1601	449
781	1602	446
782	1604	444
783	1606	442
784	1607	440
785	1609	438
786	1611	436
787	1613	433
788	1614	431
789	1616	429
790	1617	427
791	1619	425
792	1620	423
793	1622	420
794	1624	418
795	1626	416
796	1628	414
797	1629	412
798	1631	410
799	1633	408
800	1634	406
801	1636	403
802	1637	401
803	1639	399
804	1641	397
805	1643	395
806	1645	393
807	1646	391
808	1648	389
809	1649	386
810	1651	384
811	1652	382
812	1654	380
813	1656	378
814	1658	376
815	1659	374
816	1661	372
817	1663	370
818	1664	367
819	1666	365
820	1667	363
821	1669	361
822	1670	359
823	1672	357
824	1674	355
825	1675	353
826	1677	350
827	1679	348
828	1680	346
829	1682	344
830	1684	342
831	1685	340
832	1687	338
833	1689	336
834	1690	334
835	1692	332
836	1694	329
837	1695	327
838	1697	325
839	1699	323
840	1701	321
841	1703	319
842	1704	317
843	1706	315
844	1708	313
845	1709	311
846	1711	309
847	1712	307
848	1715	305
849	1716	302
850	1718	300
851	1720	298
852	1721	296
853	1723	294
854	1725	292
855	1726	290
856	1728	288
857	1730	286
858	1731	284
859	1733	282
860	1735	280
861	1737	278
862	1738	276
863	1740	273
864	1741	271
865	1743	269
866	1745	267
867	1747	265
868	1748	263
869	1750	261
870	1751	259
871	1753	257
872	1755	255
873	1756	253
874	1758	251
875	1760	249
876	1762	247
877	1764	245
878	1766	243
879	1767	241
880	1769	239
881	1771	236
882	1772	234
883	1775	232
884	1776	230
885	1778	228
886	1779	226
887	1781	224
888	1783	222
889	1784	220
890	1786	218
891	1788	216
892	1790	214
893	1792	212
894	1794	210
895	1795	208
896	1797	206
897	1799	204
898	1800	202
899	1802	200
900	1804	198
901	1806	196
902	1807	194
903	1809	192
904	1810	190
905	1812	188
906	1814	186
907	1815	183
908	1817	181
909	1819	179
910	1821	177
911	1823	175
912	1824	173
913	1826	171
914	1827	169
915	1829	167
916	1831	165
917	1833	163
918	1834	161
919	1836	159
920	1838	157
921	1840	155
922	1841	153
923	1843	151
924	1844	149
925	1846	147
926	1848	145
927	1850	143
928	1851	141
929	1853	139
930	1855	137
931	1856	135
932	1858	133
